sampledate,coreid,wtemp,light50,dark_light,light_logger,light0,do_init,delta_do_rate,do_final,do_gm2hr
2013-06-15,5,13.6,740,0,NA,2060,11.68,-0.07419354838709691,11.45,-0.01632258064516132
2013-06-15,6,13.75,740,1,NA,2060,11.53,0.6163043478260871,13.42,0.11401630434782611
2013-06-15,7,13.4,740,0,NA,2060,11.67,-0.16630434782608688,11.16,-0.03326086956521737
2013-06-15,8,13.6,740,1,NA,2060,11.11,0.8241758241758242,13.61,0.1565934065934066
2013-06-15,9,13.4,740,1,NA,2060,11.18,0.3099999999999999,12.11,0.06819999999999998
2013-06-15,10,13.75,740,1,NA,2060,11.69,0.7786516853932586,14,0.159623595505618
2013-06-22,1,13.6,335,0,NA,726,12.07,-0.25573770491803316,11.29,-0.05370491803278696
2013-06-22,2,13.7,335,1,NA,726,12.03,1.052513966480447,15.17,0.22102793296089387
2013-06-22,3,13.4,335,0,NA,726,12.02,-0.170949720670391,11.51,-0.03589944134078211
2013-06-22,4,13.5,335,1,NA,726,12.2,0.9539325842696628,15.03,0.19078651685393255
2013-06-22,5,13.65,335,0,NA,726,12.17,-0.357303370786517,11.11,-0.06967415730337083
2013-06-22,6,13.4,335,1,NA,726,11.96,0.8795454545454541,14.54,0.1934999999999999
2013-06-22,7,13.35,335,0,NA,726,12.1,-0.3394285714285715,11.11,-0.06449142857142859
2013-06-22,8,13.4,335,1,NA,726,11.97,0.7275862068965515,14.08,0.13460344827586204
2013-06-22,9,13.55,335,1,NA,726,11.98,0.8413793103448275,14.42,0.1935172413793103
2013-06-22,10,14,335,1,NA,726,12.28,1.1391891891891894,15.09,0.2677094594594595
2013-06-29,1,12.75,700,0,NA,2225,11.9,-0.17313432835820897,11.32,-0.03722388059701492
2013-06-29,2,12.65,700,1,NA,2225,11.94,1.459296482412061,16.78,0.2991557788944724
2013-06-29,3,12.65,700,0,NA,2225,11.92,-0.12487309644670055,11.51,-0.02185279187817259
2013-06-29,4,12.8,700,1,NA,2225,11.84,0.9228426395939084,14.87,0.1753401015228426
2013-06-29,5,12.45,700,0,NA,2225,12.12,-0.13705583756345158,11.67,-0.02809644670050757
